"3";"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"SCT: společenský život";"okno , které dává tušit blažený pohled do osvěžujícího lůna";"přírody vůkol .";"</s><s> Otázkou zůstává , jak se Hudlerovi podaří zapadnout mezi místní"
"3";"cs: čeština";"FIC: beletrie";"VER: poezie";"X: neuvedeno";"X: neuvedeno";"Nejspíš si řekl : Kam se deru když v rovinách";"těch vůkol mám";"věru jiný úkol </s><s> OSUDOVÁ </s><s> Vím že není cesty rovné Já"
"3";"en: angličtina";"FIC: beletrie";"COL: kratší próza";"X: neuvedeno";"X: neuvedeno";". </s><s> Našla jsem úsek se spoustou podobenství panenky Marie a";"křížů vůkol ,";"ale žádná stopa po Simone . </s><s> Prohledávala jsem úsek posetý"
