"1";"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"docela slušně a nevypadá to , že bojoval za osvobozování";"Italů zpod „";"jha Lucemburků “ . </s><s> Pokud budeme jiné pomníky kádrovat podobným"
"3";"cs: čeština";"FIC: beletrie";"SCR: drama";"X: neuvedeno";"X: neuvedeno";"zásuvky v komodě , dívá se do poliček , do";"skříně . </s><s> Zpod";"</s><s> postele vytahuje krabici , otevírá jí , prohlíží si plátno"
"3";"cs: čeština";"FIC: beletrie";"COL: kratší próza";"X: neuvedeno";"X: neuvedeno";". 1 . 2011 ) </s><s> 107 . Léčivé houby </s><s> Většina";"lidí spod pojmem";"houby představí buď chutný pokrm nebo naopak příčinu nebezpečné otravy"
